ID_Livro,Titulo,Numero_Paginas,Data_Aquisicao,Categoria,Valor_Aquisicao,Exemplares_Disponiveis,Biblioteca,Exemplares_Emprestados,Idioma,Renovacoes_Realizadas
1,A Revolução dos Bichos #1,392,2015-01-01,Clássico,64.1,3,MG,8,Francês,6
2,Drácula #2,172,2015-01-02,Ficção,39.47,9,MG,2,Espanhol,4
3,Grande Sertão: Veredas #3,562,2015-01-03,Fantasia,103.58,7,ES,0,Inglês,0
4,Ensaio Sobre a Cegueira #4,779,2015-01-04,Distopia,72.73,2,ES,8,Espanhol,5
5,Neuromancer #5,932,2015-01-05,Ficção Científica,116.66,5,RJ,4,Inglês,3
6,Memórias Póstumas #6,1190,2015-01-06,Ficção,42.71,8,SP,8,Português,0
7,1984 #7,158,2015-01-07,Infantil,30.61,6,SP,6,Espanhol,7
8,It - A Coisa #8,836,2015-01-08,Realismo Mágico,70.2,9,MG,11,Português,4
9,Harry Potter #9,139,2015-01-09,Ficção Científica,22.19,1,RJ,12,Espanhol,2
10,Cem Anos de Solidão #10,886,2015-01-10,Suspense,60.99,1,SP,5,Português,5
11,Grande Sertão: Veredas #11,688,2015-01-11,Ficção Científica,143.47,9,MG,7,Português,4
12,Harry Potter #12,1060,2015-01-12,Terror,149.57,1,SP,4,Espanhol,0
13,O Alquimista #13,392,2015-01-13,Infantil,85.12,1,MG,11,Francês,1
14,O Pequeno Príncipe #14,1141,2015-01-14,Terror,118.2,7,MG,7,Inglês,1
15,O Pequeno Príncipe #15,491,2015-01-15,Clássico,116.19,10,RJ,0,Espanhol,1
16,Orgulho e Preconceito #16,959,2015-01-16,Realismo Mágico,40.62,1,SP,1,Francês,8
17,Memórias Póstumas #17,552,2015-01-17,Ficção Científica,33.01,4,SP,1,Português,1
18,O Hobbit #18,879,2015-01-18,Infantil,75.84,8,SP,5,Espanhol,6
19,Cem Anos de Solidão #19,1019,2015-01-19,Distopia,81.28,7,RJ,0,Inglês,0
20,A Revolução dos Bichos #20,603,2015-01-20,Realismo Mágico,138.27,8,SP,6,Inglês,0
21,Ensaio Sobre a Cegueira #21,1017,2015-01-21,Infantil,73.93,1,SP,0,Espanhol,1
22,Memórias Póstumas #22,1008,2015-01-22,Fantasia,126.81,6,ES,8,Português,4
23,Grande Sertão: Veredas #23,279,2015-01-23,Romance,101.81,6,MG,4,Português,3
24,Capitães da Areia #24,949,2015-01-24,Terror,26.56,5,RJ,12,Português,3
25,A Revolução dos Bichos #25,940,2015-01-25,Suspense,118.05,7,ES,0,Inglês,3
26,A Revolução dos Bichos #26,241,2015-01-26,Ficção,113.02,4,MG,11,Português,2
27,O Senhor dos Anéis #27,994,2015-01-27,Infantil,40.58,7,MG,10,Francês,7
28,Neuromancer #28,1016,2015-01-28,Distopia,94.39,1,RJ,7,Francês,8
29,O Pequeno Príncipe #29,1096,2015-01-29,Ficção Científica,87.35,6,MG,12,Português,8
